Index,Highest Charting Position,Streams,Artist Followers,Genre,Tempo,Duration (ms)
237,194,4938180.0,6475631.0,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",174.32299999999998,258773.0
238,101,6731106.0,1724414.0,"['dmv rap', 'pop', 'r&b', 'rap']",89.98200000000001,301304.0
239,55,5912293.0,8640063.0,"['dance pop', 'pop']",77.014,188893.0
240,132,5876058.0,98503.0,"['eau claire indie', 'folktronica']",167.977,254467.0
241,40,5392334.0,6777818.0,"['hip hop', 'rap']",142.034,146419.0
242,152,5347263.0,1042079.0,['comic'],127.04700000000001,302951.0
243,101,5321544.0,6278835.0,"['hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",150.062,236524.0
244,72,5258628.0,17202.0,[],125.994,175238.0
245,25,5234112.0,8083566.0,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'nz pop', 'pop', 'post-teen pop']",87.971,192621.0
246,4,5135380.0,47014200.0,"['electropop', 'pop']",129.642,245897.0
247,189,5029898.0,558345.0,"['frauenrap', 'german hip hop', 'german pop']",95.939,155363.0
248,8,5013017.0,180454.0,['nyc rap'],140.201,123263.0
249,55,5011753.0,1097789.0,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",171.96599999999998,140942.0
250,11,5005018.0,15770302.0,"['dance pop', 'pop', 'post-teen pop']",127.99,169333.0
251,136,4992345.0,1275345.0,"['dance pop', 'pop rap']",89.99,210960.0
252,32,4980155.0,6080597.0,"['puerto rican pop', 'trap latino']",175.946,231595.0
253,81,4973063.0,384097.0,[],147.89700000000002,166216.0
254,101,4965913.0,3126961.0,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino']",117.49600000000001,164896.0
255,117,4938586.0,12369079.0,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']",85.03,272394.0
256,43,11756283.0,6777818.0,"['hip hop', 'rap']",170.69099999999997,138312.0
257,47,11380679.0,6777818.0,"['hip hop', 'rap']",137.131,130980.0
258,59,9889197.0,6777818.0,"['hip hop', 'rap']",173.456,155293.0
259,63,9503981.0,6777818.0,"['hip hop', 'rap']",97.67200000000001,146482.0
260,69,9142721.0,6777818.0,"['hip hop', 'rap']",140.22299999999998,588139.0
261,73,8884283.0,6777818.0,"['hip hop', 'rap']",127.596,88625.0
